时间,通道,亮度,设置时间
2025/07/01 09:17:23:515,4,0,24ms
2025/07/01 09:17:24:794,5,255,24ms
2025/07/01 09:17:24:958,5,0,24ms
2025/07/01 09:17:24:988,4,255,23ms
2025/07/01 09:17:25:073,4,0,24ms
2025/07/01 09:17:25:322,5,255,24ms
2025/07/01 09:17:25:481,5,0,23ms
2025/07/01 09:17:25:512,4,255,24ms
2025/07/01 09:17:25:595,4,0,23ms
2025/07/01 09:17:35:450,3,255,24ms
2025/07/01 09:17:35:513,3,0,25ms
2025/07/01 09:17:35:543,3,0,23ms
2025/07/01 09:17:35:574,2,255,24ms
2025/07/01 09:17:35:686,3,0,23ms
2025/07/01 09:17:35:717,2,0,24ms
2025/07/01 09:17:38:001,2,255,24ms
2025/07/01 09:17:38:114,2,0,23ms
2025/07/01 09:17:38:807,3,90,23ms
2025/07/01 09:17:38:838,2,255,23ms
2025/07/01 09:17:38:909,3,0,24ms
2025/07/01 09:17:38:939,2,0,24ms
2025/07/01 09:17:39:508,6,255,23ms
2025/07/01 09:17:39:576,6,0,23ms
2025/07/01 09:17:39:965,6,255,23ms
2025/07/01 09:17:40:045,6,0,24ms
2025/07/01 09:18:34:409,2,255,24ms
2025/07/01 09:18:34:507,2,0,23ms
2025/07/01 09:18:34:995,3,255,24ms
2025/07/01 09:18:35:062,3,0,24ms
2025/07/01 09:18:35:093,2,255,24ms
2025/07/01 09:18:35:201,2,0,23ms
2025/07/01 09:18:36:474,1,255,23ms
2025/07/01 09:18:36:573,1,0,23ms
2025/07/01 09:18:36:698,4,0,24ms
2025/07/01 09:18:36:847,4,255,23ms
2025/07/01 09:18:36:945,4,0,23ms
2025/07/01 09:18:38:237,5,255,23ms
2025/07/01 09:18:38:402,5,0,24ms
2025/07/01 09:18:38:432,4,255,23ms
2025/07/01 09:18:38:517,4,0,24ms
2025/07/01 09:18:38:773,5,255,24ms
2025/07/01 09:18:38:932,5,0,24ms
2025/07/01 09:18:38:963,4,255,24ms
2025/07/01 09:18:39:045,4,0,23ms
2025/07/01 09:18:49:057,3,255,23ms
2025/07/01 09:18:49:119,3,0,23ms
2025/07/01 09:18:49:150,3,0,23ms
2025/07/01 09:18:49:182,2,255,25ms
2025/07/01 09:18:49:289,3,0,23ms
2025/07/01 09:18:49:321,2,0,24ms
2025/07/01 09:18:50:632,2,255,23ms
2025/07/01 09:18:50:725,2,0,24ms
2025/07/01 09:18:51:923,2,255,23ms
2025/07/01 09:18:52:035,2,0,23ms
2025/07/01 09:18:52:741,3,90,24ms
2025/07/01 09:18:52:772,2,255,23ms
2025/07/01 09:18:52:838,3,0,23ms
2025/07/01 09:18:52:869,2,0,24ms
2025/07/01 09:18:53:434,6,255,24ms
2025/07/01 09:18:53:502,6,0,24ms
2025/07/01 09:18:53:866,6,255,24ms
2025/07/01 09:18:53:933,6,0,23ms
2025/07/01 09:19:04:495,2,255,24ms
2025/07/01 09:19:04:594,2,0,23ms
2025/07/01 09:19:05:080,3,255,23ms
2025/07/01 09:19:05:147,3,0,24ms
2025/07/01 09:19:05:178,2,255,23ms
2025/07/01 09:19:05:288,2,0,23ms
2025/07/01 09:19:06:564,1,255,24ms
2025/07/01 09:19:06:662,1,0,23ms
2025/07/01 09:19:06:693,4,255,23ms
2025/07/01 09:19:06:787,4,0,23ms
2025/07/01 09:19:06:935,4,255,24ms
2025/07/01 09:19:07:034,4,0,23ms
2025/07/01 09:19:08:320,5,255,24ms
2025/07/01 09:19:08:481,5,0,23ms
2025/07/01 09:19:08:512,4,255,23ms
2025/07/01 09:19:08:597,4,0,24ms
2025/07/01 09:19:08:905,5,255,24ms
2025/07/01 09:19:09:064,5,0,24ms
2025/07/01 09:19:09:094,4,255,23ms
